,label,Info
0,Agaricus augustus,comestible
1,Agaricus xanthodermus,no comestible
2,Amanita citrina,no comestible
3,Amanita muscaria,no comestible
4,Amanita pantherina,no comestible
5,Amanita phalloides,no comestible
6,Amanita rubescens,comestible
7,Armillaria mellea,comestible
8,Armillaria tabescens,comestible
9,Bjerkandera adusta,no comestible
10,Bolbitius titubans,comestible
11,Boletus edulis,comestible
12,Calocera viscosa,no comestible
13,Cantharellus cibarius,comestible
15,Chlorociboria aeruginascens,no comestible
16,Chlorophyllum molybdites,no comestible
19,Clitocybe nebularis,comestible
20,Coltricia perennis,no comestible
21,Coprinellus disseminatus,comestible
22,Coprinellus micaceus,comestible
23,Coprinopsis atramentaria,comestible
24,Coprinus comatus,comestible
26,Flammulina velutipes,comestible
27,Fomes fomentarius,no comestible
28,Fomitopsis pinicola,no comestible
29,Galerina marginata,no comestible
30,Ganoderma applanatum,no comestible
31,Gloeophyllum sepiarium,no comestible
33,Gyromitra esculenta,comestible
34,Gyromitra infula,no comestible
35,Hericium erinaceus,comestible
36,Hygrophoropsis aurantiaca,no comestible
38,Kuehneromyces mutabilis,comestible
39,Lactarius deliciosus,comestible
40,Leucoagaricus americanus,no comestible
42,Lycoperdon perlatum,no comestible
43,Lycoperdon pyriforme,no comestible
44,Macrolepiota procera,comestible
45,Mycena haematopus,no comestible
46,Panellus stipticus,no comestible
48,Paxillus involutus,no comestible
51,Phallus impudicus,comestible
52,Phellinus igniarius,no comestible
53,Pholiota aurivella,no comestible
58,Schizophyllum commune,comestible
59,Suillus granulatus,comestible
60,Suillus luteus,comestible
61,Tapinella atrotomentosa,no comestible
62,Trametes hirsuta,no comestible
63,Trametes ochracea,no comestible
64,Trametes versicolor,no comestible
65,Trichaptum biforme,no comestible
66,Tricholomopsis rutilans,comestible
67,Verpa bohemica,comestible
